A,B,C,D,F,GPA,Q,TOTAL,INSTRUCTOR,A_PER,B_PER,C_PER,D_PER,F_PER,COURSE
10,0,0,0,0,4.0,0.0,10.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ENDS 101
7,0,0,0,0,4.0,0.0,7.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ENDS 101
5,0,0,0,0,4.0,0.0,5.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ENDS 101
5,0,0,0,0,4.0,0.0,5.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ENDS 101
24,0,0,0,0,4.0,0.0,24.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ENDS 101
146,25,0,0,3,3.787,1.0,175.0,BILLINGSLEY A,83.43,14.29,0.0,0.0,1.71,ENDS 101
237,45,5,6,0,3.75,3.0,296.0,BILLINGSLEY A,80.07,15.2,1.69,2.03,0.0,ENDS 101
13,7,1,2,2,3.08,1.0,26.0,VAZQUEZ MOLINARY A,50.0,26.92,3.85,7.69,7.69,ENDS 105
16,0,0,0,0,4.0,0.0,16.0,DE LIMA VAZ XAVIER,100.0,0.0,0.0,0.0,0.0,ENDS 108
9,3,4,0,0,3.312,0.0,16.0,DE LIMA VAZ XAVIER,56.25,18.75,25.0,0.0,0.0,ENDS 108
9,1,3,1,0,3.285,0.0,14.0,CATAO CARTAXO,64.29,7.14,21.43,7.14,0.0,ENDS 108
15,0,1,0,0,3.875,0.0,16.0,CATAO CARTAXO,93.75,0.0,6.25,0.0,0.0,ENDS 108
5,6,1,2,0,3.0,0.0,14.0,BORGES GONZALEZ A,35.71,42.86,7.14,14.29,0.0,ENDS 108
9,3,2,0,0,3.5,1.0,15.0,KIM S,60.0,20.0,13.33,0.0,0.0,ENDS 108
10,7,0,0,0,3.588,0.0,17.0,BORGES GONZALEZ A,58.82,41.18,0.0,0.0,0.0,ENDS 108
22,0,0,0,1,3.826,0.0,23.0,XU C,95.65,0.0,0.0,0.0,4.35,ENDS 115
